"软件架构设计"	"<p>软件架构设计</p>"	"<p>什么是架构</p><p>计算机功底</p><p>技术架构之道</p><p>业务架构之道</p><p>从架构到技术管理</p>"	"软件架构设计"
"5.2.4"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;网络</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;HTTP 1.1</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;“一来多回”问题</p>"	"<p>客户端定期轮询</p><p>HTTP长轮询</p><p>HTTP Streaming</p>"	"软件架构设计"
"5.3"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;网络</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;HTTP/2</p>"	"<p>与HTTP 1.1的兼容</p><p>二进制分帧</p><p>头部压缩</p>"	"软件架构设计"
"5.4"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;网络</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SSL/TLS</p>"	"<p>背景</p><p>对称加密问题</p><p>双向非对称加密</p><p>单向非对称加密</p><p>中间人攻击</p><p>数字证书与证书认证中心</p><p>根证书与CA信任链</p><p>SSL/TLS协议：四次握手</p>"	"软件架构设计"
"5.4.7"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;网络</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SSL/TLS</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;根证书与CA信任链</p>"	"<p>证书信任链的验证过程</p><p>证书信任链的颁发过程</p>"	"软件架构设计"
"5.6"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;网络</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;TCP/UDP</p>"	"<p>可靠与不可靠</p><p>TCP的“假”连接（状态机）</p><p>三次握手（网络2将军问题）</p><p>四次挥手</p>"	"软件架构设计"
"5.6.1"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;网络</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;TCP/UDP</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;可靠与不可靠</p>"	"<p>解决不丢问题：ACK 重发</p><p>解决不重的问题</p><p>解决时序错乱的问题</p>"	"软件架构设计"
"5.7"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;网络</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;QUIC</p>"	"<p>不丢包（Raid5算法和Raid6算法）</p><p>更少的RTT</p><p>连接迁移</p>"	"软件架构设计"
"6"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;数据库</p>"	"<p>范式与反范式</p><p>分库分表</p><p>B 树</p><p>事务与锁</p><p>事务实现原理之1：Redo Log</p><p>事务实现原理之2：Undo Log</p><p>Binlog与主从复制</p>"	"软件架构设计"
"6.2"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;数据库</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;分库分表</p>"	"<p>为什么要分</p><p>分布式ID生成服务</p><p>拆分纬度的选择</p><p>Join查询问题</p><p>分布式事务</p>"	"软件架构设计"
"6.3"	"<p>软件架构设计</p><p>&nbsp;&nbsp;&nbsp;&nbsp;计算机功底</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;数据库</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;B 树</p>"	"<p>B 树逻辑结构</p><p>B 树物理结构</p><p>非主键索引</p>"	"软件架构设计"
